Title;Ingredients;Steps;Loves;URL
gurame saus padang;Bahan utama: - 1 ekor gurame - Bumbu untuk saus: - 4 siung bawang putih (cincang halus) - 3 siung bawang merah (cincang halus) - 15 bh cabai merah (giling) banyaknya cabai sesuai selera ya😊 - 7 buah cabai rawit iris tipis (sesuai selera) - 1/2 bawang bombang iris - Saus tiram - Saus tomat - Garam - Gula - Lada - 1 bh wortel iris tipis memanjang (opsional) - 1 buah tomat potong dadu (opsional) - 1 batang irisan daun bawang - 1 ruas jahe ukuran kecil iris tipis - Tepung maizena - 250 ml air - Bumbu untuk menggoreng ikan : - Tepung beras - Tepung terigu - Garam - Jeruk nipis/ lemon - Minyak sayur - ;Cuci bersih ikan gurame yang akan dimasak. Setelah itu lumuri ikan dengan air perasan jeruk nipis/lemon diamkan beberapa menit untuk menghilangkan bau amisnya - Campur tepung terigu,tepung beras dan garam menjadi satu,kemudian lumuri ikan dengan tepung tersebut lalu goreng hingga matang lalu tiriskan. Pastikan minyak yang digunakan sudah panas ya biar ikannya tidak lengket😊. - Tumis bawang merah bawang putih hingga harum,kemudian masukan cabai yang sudah giling, aduk rata - Tambahkan bawang bombay,saus tiram saus tomat dan jahe, aduk sebentar lalu tambahkan 250ml air - Kemudian tambahkan garam dan gula sesuai selera. - Masukkan irisan cabai rawit dan daun bawang dan tomat. Aduk rata. Kemudian tambahkan larutan maizena agar saus mengental - Jika tidak ada tepung maizena. Diamkan beberapa menit hingga kandungan air menyusut dan saus terlihat mengental - Tes rasa. Jika sudah pas. Sajikan dan gurame saus padang siap disantap!😊 - ;2;/id/resep/4474009-gurame-saus-padang
ikan kembung bakar teflon;1/2 kg ikan kembung sate, bersihkan - 1 buah jeruk sate/jeruk kunci - 1 sdm garam halus - 2 sdt lada bubuk - 1 sdm ketumbar bubuk - ;Kucuri ikan dengan jeruk, diamkan 5 menit - Lumuri ikan dg garam, lada dan ketumbar bubuk, simpan d kulkas sekitar 30 menit - Bakar d atas teflon yg d olesi mentega/ butter tipis dengan api yg kecil - Balik untuk membakar kedua bagian ikan. - Sajikan dengan cocolan sambal kecap - ;2;/id/resep/4474225-ikan-kembung-bakar-teflon
mujaer asam pedas manis;1/2 kg ikan mujaer (stok gurame habis) - 2 buah Wortel potong korek api - 1 siung bawang bombai - 7 siung bawang putih - 13 cabai rawit - 4 siung bawang merah - 2 sendok makan Saos tomat - 2 sendok makan Saos tiram - Garam - Merica - 100 ml air matang - Jahe - Jeruk nipis - ;Bersihkan ikan sampai benar-benar bersih. Kerat-kerat dagingnya. Beri garam, merica, potongan jahe perasan jeruk nipis, dan 2 siung bawang uleg. Diamkan 10 menit - Uleg 5 bawang putih yang tersisa. Potong bawang bombai dan dan bawang merah dan cabai rawit. - Goreng ikan mujaer hingga matang, lalu sisihkan. - Tumis bawang merah dan bawang bombai hingga wangi, masukkan bawang putih uleg. Tumis hingga wangi. - Masukkan wortel, tambahkan air. Aduk-aduk. Tunggu hingga wortel hampir matang. - Masukkan saos tomat dan saos tiram. Beri perasan jeruk nipis. Aduk-aduk Koreksi rasa. Jika sudah pas, masukkan ikan, aduk sebentar saja. - Siap disajikan. - ;1;/id/resep/4473689-mujaer-asam-pedas-manis
gurame asam manis;1/2 kg ikan gurame - 2 buah wortel (potong seperti batang korek api) - Bumbu - 5 siung bawang merah - 4 siung bawang purih - 1 bh tomat - Cabe besar (selera brp j) - Cage kecil (selera brp j) - 2 sacet Saos sambel - Saos tomat (q pakek Saos botolan) - Bahan tambahan - Tepung maezena - Kunir - Garam, gula, merica ladaku - ;Uleg kunir sama garam kasih air lalu guraminya d rendam, diem in sekitar 10menitan lalu goreng gurame - Untuk Saos asam manis nya, gongso semua bumbu sampek harum, masukan wortel setelah itu kasih Saos Dan garam gula merica ladaku, rasain setelah pas rasanya baru masukan tepung meizena yg sudah d cairkan dengan air setelah mengental angkat - Tata gurame d atas piring siram saosnya Dan siap di santaaap... - ;5;/id/resep/4473428-gurame-asam-manis
asam padeh ikan tuna;1/2 kg ikan tuna - 6 siung bawang merah - 4 siung bawang putih - 2 ruas kemiri - 2 batang serai - 2 ruas kunyit - 2 ruas laos - 4 lembar daun jeruk - 1 lembar daun kunyit - 2 buah asam Kandis - 4 buah belimbing hulu - 6 buah cabai merah (bisa disesuaikan) - 10 buah cabai rawit (bisa disesuaikan) - 3 gelas air - 2 sendok garam - 1/2 sendok gula - ;Haluskan bumbu (cabai merah, kemiri, bawang, kunyit, Laos) - Tumis bumbu sampai berubah warna - Tambahkan air - Masukkan serai yg sudah di geprek, daun kunyit, daun jeruk, asam Kandis, belimbing hulu, dan cabai rawit utuh (tdk dihaluskan dan tdk dipotong) - Tunggu sampai mendidih - Setelah mendidih, masukkan ikan tuna (sudah dicuci bersih dan diberi air perasan jeruk) - Kemudian beri garam dan gula secukupnya - Tunggu sampai air sedikit berkurang dan mengental - Asam padeh ikan tuna siap disajikan - ;7;/id/resep/4473138-asam-padeh-ikan-tuna
avocado tuna salad;1 kaleng Tuna Chunks - 2 butir telur rebus - 3 buah kentang rebus - 2 buah avocado - 2 buah bawang merah - 12 biji zaitun - 1 buah timun - Sebongkol daun salada/lettuce - secukupnya Garam & merica - ;Campur semuanya dalam baskom, kecuali biji zaitun, telur rebus. Lalu tambahkan garam & merica - Tuang dalam piring saji, atur irisan telur & biji zaitun. Siap disajikan. - ;0;/id/resep/4473223-avocado-tuna-salad
lele asam manis;1/2 kg Lele Segar - 180 ml air - 3 sdm kecap manis - 1 sdm margarine/minyak - 1/2 sdt saus tiram (optional) - Bumbu halus : - 6 siung bawang merah - 5 siung bawang putih - 4 cabe merah (bisa lebih sesuai selera) - 2 buah kemiri - 1 sdt garam (sesuai selera) - 1/2 sdt penyedap rasa (sesuai selera) - 1/2 sdt gula pasir (sesuai selera) - ;Cuci bersihbikan, lalu goreng ikan lele agak matang tapi jangan sampai renyah. Tiriskan - Sambil menunggu, haluskan semua bumbu di atas. - Panaskan wajan dengan margarin. - Masukkan bumbu halus ke dalam wajan sampai harum. Tambahkan kecap, saus tiram dan air - Setelah berbau harum, barulah ikan lele dimasukkan. - Tunggu sampai bumbu meresap serta tes rasa. Setelah air tnggal sedikit, angkat dan sajikan.. Semoga membantu.. - ;0;/id/resep/4473217-lele-asam-manis
pempek kulit ikan tenggiri;500 gr kulit ikan tenggiri halu - 200 cc air matang - 1 sdt garam - 1 sdt Penyedap/ kaldu jamur - 1/2 sdt merica - 1/2 sdt gula - 60 ml santan kental - 5 siung bawang putih - 5 siung bawang merah - 350 gr sagu tani - 2 sdm terigu - 100 gr sagu untuk balur - ;Aduk ikan tambahkan air sedikit demi sedikit bersamaan dgn garam - Masukkan terigu bersama santan - Masukkan sagu - Balurin tangan dgn sagu bentuk adonan dgn sendok makan - Letakkan di piring yg ditabur sagu - Goreng minyak panas sampai mengembang - Dinginkan - Potong2 lalu goreng - Siap menggoyang lidah sajikan dgn cuko - ;6;/id/resep/4472657-pempek-kulit-ikan-tenggiri
tumis tongkol petai;2 bungkus tongkol - 2 cabe gendot - 2 papan petai - 2 cabe rawit - 2 bh cabe merah - 3 bh b. Merah - 3 bh b. Putih - 2 lembar daun salam - Secukupnya garam - Secukupnya gula putih - ;Cuci bersih ikan tongkol, goreng sebentar - Iris b. Merah, b. Putih, cabe merah, cabe rawit, cabe gendot. Tumis - Masukan petai, tambahkan sedikit air. Masukan garam, gula pasir. Cek rasa. Sajikan - ;6;/id/resep/4472513-tumis-tongkol-petai
ikan patin pedas manis;500 gr ikan patin - 5 siung bawang merah iris tipis - 4 siung bawang putih iris tipis - 1/2 bawang bombay ukuran kecil iris tipis - Cabai merah keriting (sesuai selera) iris tipis - Cabai rawit setan (sesuai selera) biarkan utuh - 1 ruas lengkuas digeprek - 2 lembar daun jeruk - 2 sendok makan kecap - 3 batang bawang daun iris tipis - ;Ikan patin yang sudah dicuci bersih, dilumuri garam kemudian digoreng setengah kering - Tumis irisan bawang merah, putih, bombay dan cabai sampai dengan harum - Masukkan ikan yang sudah digoreng sebelumnya, kemudian tambahkan sedikit air - Masukkan kecap, lengkuas, daun jeruk, garam dan gula. Koreksi rasa - Biarkan sampai dengan meresap ke dalam daging ikan, setelah benar2 meresap terakhir masukkan irisan bawang daun dan cabai rawit setan, kemudian angkat dan sajikan - ;0;/id/resep/4472909-ikan-patin-pedas-manis
